year,gp,event_idx,driver,team,event_delta_pick,event_se_pick,event_weight,race_n,quali_k,event_delta_s,event_delta_s_shrunk,event_se_s
2025,Hungarian Grand Prix,0,ALB,Williams,0.0208043478260922,,0.7163929600000001,69.0,1,0.0208043478260922,0.0208043478260922,
2025,Hungarian Grand Prix,0,ALO,Aston Martin,-0.0391457142857092,,0.7163929600000001,70.0,1,-0.0391457142857092,-0.0391457142857092,
2025,Hungarian Grand Prix,0,ANT,Mercedes,0.2968068188927134,,0.7163929600000001,69.0,1,0.2968068188927134,0.2968068188927134,
2025,Hungarian Grand Prix,0,BEA,Haas F1 Team,0.2084625000000048,,0.7163929600000001,48.0,1,0.2084625000000048,0.2084625000000048,
2025,Hungarian Grand Prix,0,BOR,Kick Sauber,-0.2062279547790278,,0.7163929600000001,70.0,1,-0.2062279547790278,-0.2062279547790278,
2025,Hungarian Grand Prix,0,COL,Alpine,0.0044608695652238,,0.7163929600000001,69.0,1,0.0044608695652238,0.0044608695652238,
2025,Hungarian Grand Prix,0,GAS,Alpine,-0.0044608695652115,,0.7163929600000001,69.0,1,-0.0044608695652115,-0.0044608695652115,
2025,Hungarian Grand Prix,0,HAD,Racing Bulls,0.0953463872380337,,0.7163929600000001,69.0,1,0.0953463872380337,0.0953463872380337,
2025,Hungarian Grand Prix,0,HAM,Ferrari,0.2389653425086045,,0.7163929600000001,69.0,1,0.2389653425086045,0.2389653425086045,
2025,Hungarian Grand Prix,0,HUL,Kick Sauber,0.2092167657178671,,0.7163929600000001,69.0,1,0.2092167657178671,0.2092167657178671,
2025,Hungarian Grand Prix,0,LAW,Racing Bulls,-0.0939842959917803,,0.7163929600000001,70.0,1,-0.0939842959917803,-0.0939842959917803,
2025,Hungarian Grand Prix,0,LEC,Ferrari,-0.2355515519013329,,0.7163929600000001,70.0,1,-0.2355515519013329,-0.2355515519013329,
2025,Hungarian Grand Prix,0,NOR,McLaren,-0.0029914285714311,,0.7163929600000001,70.0,1,-0.0029914285714311,-0.0029914285714311,
2025,Hungarian Grand Prix,0,OCO,Haas F1 Team,-0.1450173913043439,,0.7163929600000001,69.0,1,-0.1450173913043439,-0.1450173913043439,
2025,Hungarian Grand Prix,0,PIA,McLaren,0.002991428571426,,0.7163929600000001,70.0,1,0.002991428571426,0.002991428571426,
2025,Hungarian Grand Prix,0,RUS,Mercedes,-0.2925667214799575,,0.7163929600000001,70.0,1,-0.2925667214799575,-0.2925667214799575,
2025,Hungarian Grand Prix,0,SAI,Williams,-0.0208043478260817,,0.7163929600000001,69.0,1,-0.0208043478260817,-0.0208043478260817,
2025,Hungarian Grand Prix,0,STR,Aston Martin,0.0391457142857201,,0.7163929600000001,70.0,1,0.0391457142857201,0.0391457142857201,
2025,Hungarian Grand Prix,0,TSU,Red Bull Racing,0.2499052862058169,,0.7163929600000001,69.0,1,0.2499052862058169,0.2499052862058169,
2025,Hungarian Grand Prix,0,VER,Red Bull Racing,-0.2463352106885927,,0.7163929600000001,70.0,1,-0.2463352106885927,-0.2463352106885927,
2025,Belgian Grand Prix,1,ALB,Williams,-0.4725878048780543,,0.778688,41.0,1,-0.4725878048780543,-0.4725878048780543,
2025,Belgian Grand Prix,1,ALO,Aston Martin,0.109375609756094,,0.778688,41.0,1,0.109375609756094,0.109375609756094,
2025,Belgian Grand Prix,1,ANT,Mercedes,0.4861536585365943,,0.778688,41.0,1,0.4861536585365943,0.4861536585365943,
2025,Belgian Grand Prix,1,BEA,Haas F1 Team,-0.0940390243902431,,0.778688,41.0,1,-0.0940390243902431,-0.0940390243902431,
2025,Belgian Grand Prix,1,BOR,Kick Sauber,-0.1597609756097594,,0.778688,41.0,1,-0.1597609756097594,-0.1597609756097594,
2025,Belgian Grand Prix,1,COL,Alpine,0.1786317073170716,,0.778688,41.0,1,0.1786317073170716,0.1786317073170716,
2025,Belgian Grand Prix,1,GAS,Alpine,-0.1786317073170744,,0.778688,41.0,1,-0.1786317073170744,-0.1786317073170744,
2025,Belgian Grand Prix,1,HAD,Racing Bulls,0.5572648148148107,,0.778688,40.0,1,0.5572648148148107,0.5572648148148107,
2025,Belgian Grand Prix,1,HAM,Ferrari,0.2703658536585423,,0.778688,41.0,1,0.2703658536585423,0.2703658536585423,
2025,Belgian Grand Prix,1,HUL,Kick Sauber,0.1597609756097534,,0.778688,41.0,1,0.1597609756097534,0.1597609756097534,
2025,Belgian Grand Prix,1,LAW,Racing Bulls,-0.5436729900632374,,0.778688,41.0,1,-0.5436729900632374,-0.5436729900632374,
2025,Belgian Grand Prix,1,LEC,Ferrari,-0.2703658536585311,,0.778688,41.0,1,-0.2703658536585311,-0.2703658536585311,
2025,Belgian Grand Prix,1,NOR,McLaren,0.0206780487804908,,0.778688,41.0,1,0.0206780487804908,0.0206780487804908,
2025,Belgian Grand Prix,1,OCO,Haas F1 Team,0.0940390243902453,,0.778688,41.0,1,0.0940390243902453,0.0940390243902453,
2025,Belgian Grand Prix,1,PIA,McLaren,-0.0206780487804833,,0.778688,41.0,1,-0.0206780487804833,-0.0206780487804833,
2025,Belgian Grand Prix,1,RUS,Mercedes,-0.486153658536577,,0.778688,41.0,1,-0.486153658536577,-0.486153658536577,
2025,Belgian Grand Prix,1,SAI,Williams,0.4725878048780438,,0.778688,41.0,1,0.4725878048780438,0.4725878048780438,
2025,Belgian Grand Prix,1,STR,Aston Martin,-0.1093756097561005,,0.778688,41.0,1,-0.1093756097561005,-0.1093756097561005,
2025,Belgian Grand Prix,1,TSU,Red Bull Racing,0.4213975609756156,,0.778688,41.0,1,0.4213975609756156,0.4213975609756156,
2025,Belgian Grand Prix,1,VER,Red Bull Racing,-0.4213975609756048,,0.778688,41.0,1,-0.4213975609756048,-0.4213975609756048,
2025,British Grand Prix,2,ALB,Williams,-0.0812170212765949,,0.8464,47.0,1,-0.0812170212765949,-0.0812170212765949,
2025,British Grand Prix,2,ALO,Aston Martin,0.3690258064516117,,0.8464,47.0,1,0.3690258064516117,0.3690258064516117,
2025,British Grand Prix,2,ANT,Mercedes,5.176973713235295,,0.8464,17.0,1,5.176973713235295,5.176973713235295,
2025,British Grand Prix,2,BEA,Haas F1 Team,0.0908553191489278,,0.8464,47.0,1,0.0908553191489278,0.0908553191489278,
2025,British Grand Prix,2,BOR,Kick Sauber,16.78440816326531,,0.8464,3.0,1,16.78440816326531,16.78440816326531,
2025,British Grand Prix,2,COL,Alpine,0.0,,0.8464,,1,0.0,0.0,
2025,British Grand Prix,2,GAS,Alpine,1.8141516657704682e-16,,0.8464,47.0,1,1.8141516657704682e-16,1.8141516657704682e-16,
2025,British Grand Prix,2,HAD,Racing Bulls,1.1368683772161605e-15,,0.8464,15.0,1,1.1368683772161605e-15,1.1368683772161605e-15,
2025,British Grand Prix,2,HAM,Ferrari,-0.3483893617021296,,0.8464,47.0,1,-0.3483893617021296,-0.3483893617021296,
2025,British Grand Prix,2,HUL,Kick Sauber,-1.0946353149955597,,0.8464,46.0,1,-1.0946353149955597,-1.0946353149955597,
2025,British Grand Prix,2,LAW,Racing Bulls,0.0,,0.8464,,1,0.0,0.0,
2025,British Grand Prix,2,LEC,Ferrari,0.3483893617021256,,0.8464,47.0,1,0.3483893617021256,0.3483893617021256,
2025,British Grand Prix,2,NOR,McLaren,0.0623804347826081,,0.8464,46.0,1,0.0623804347826081,0.0623804347826081,
2025,British Grand Prix,2,OCO,Haas F1 Team,-0.0908553191489445,,0.8464,47.0,1,-0.0908553191489445,-0.0908553191489445,
2025,British Grand Prix,2,PIA,McLaren,-0.0623804347826099,,0.8464,46.0,1,-0.0623804347826099,-0.0623804347826099,
2025,British Grand Prix,2,RUS,Mercedes,-1.8725224069148945,,0.8464,47.0,1,-1.8725224069148945,-1.8725224069148945,
2025,British Grand Prix,2,SAI,Williams,0.0812170212765971,,0.8464,47.0,1,0.0812170212765971,0.0812170212765971,
2025,British Grand Prix,2,STR,Aston Martin,-0.377048106591868,,0.8464,46.0,1,-0.377048106591868,-0.377048106591868,
2025,British Grand Prix,2,TSU,Red Bull Racing,1.0410391304347817,,0.8464,46.0,1,1.0410391304347817,1.0410391304347817,
2025,British Grand Prix,2,VER,Red Bull Racing,-1.041039130434784,,0.8464,46.0,1,-1.041039130434784,-1.041039130434784,
2025,Austrian Grand Prix,3,ALB,Williams,-4.547473508864641e-15,,0.92,15.0,1,-4.547473508864641e-15,-4.547473508864641e-15,
2025,Austrian Grand Prix,3,ALO,Aston Martin,-0.1435869565217355,,0.92,69.0,1,-0.1435869565217355,-0.1435869565217355,
2025,Austrian Grand Prix,3,ANT,Mercedes,0.0,,0.92,,1,0.0,0.0,
2025,Austrian Grand Prix,3,BEA,Haas F1 Team,0.0646434782608634,,0.92,69.0,1,0.0646434782608634,0.0646434782608634,
2025,Austrian Grand Prix,3,BOR,Kick Sauber,-0.025078260869567,,0.92,69.0,1,-0.025078260869567,-0.025078260869567,
2025,Austrian Grand Prix,3,COL,Alpine,0.020160869565216,,0.92,69.0,1,0.020160869565216,0.020160869565216,
2025,Austrian Grand Prix,3,GAS,Alpine,-0.0201608695652189,,0.92,69.0,1,-0.0201608695652189,-0.0201608695652189,
2025,Austrian Grand Prix,3,HAD,Racing Bulls,0.1444890209571447,,0.92,69.0,1,0.1444890209571447,0.1444890209571447,
2025,Austrian Grand Prix,3,HAM,Ferrari,0.0394285714285697,,0.92,70.0,1,0.0394285714285697,0.0394285714285697,
2025,Austrian Grand Prix,3,HUL,Kick Sauber,0.0250782608695637,,0.92,69.0,1,0.0250782608695637,0.0250782608695637,
2025,Austrian Grand Prix,3,LAW,Racing Bulls,-0.1424248920863336,,0.92,70.0,1,-0.1424248920863336,-0.1424248920863336,
2025,Austrian Grand Prix,3,LEC,Ferrari,-0.039428571428573,,0.92,70.0,1,-0.039428571428573,-0.039428571428573,
2025,Austrian Grand Prix,3,NOR,McLaren,-0.0115500000000016,,0.92,70.0,1,-0.0115500000000016,-0.0115500000000016,
2025,Austrian Grand Prix,3,OCO,Haas F1 Team,-0.0646434782608752,,0.92,69.0,1,-0.0646434782608752,-0.0646434782608752,
2025,Austrian Grand Prix,3,PIA,McLaren,0.0115499999999972,,0.92,70.0,1,0.0115499999999972,0.0115499999999972,
2025,Austrian Grand Prix,3,RUS,Mercedes,3.288797805518178e-15,,0.92,70.0,1,3.288797805518178e-15,3.288797805518178e-15,
2025,Austrian Grand Prix,3,SAI,Williams,0.0,,0.92,,1,0.0,0.0,
2025,Austrian Grand Prix,3,STR,Aston Martin,0.1435869565217428,,0.92,69.0,1,0.1435869565217428,0.1435869565217428,
2025,Austrian Grand Prix,3,TSU,Red Bull Racing,-7.0218340945704006e-15,,0.92,68.0,1,-7.0218340945704006e-15,-7.0218340945704006e-15,
2025,Austrian Grand Prix,3,VER,Red Bull Racing,0.0,,0.92,,1,0.0,0.0,
2025,Canadian Grand Prix,4,ALB,Williams,-0.5736730434782622,,1.0,46.0,1,-0.5736730434782622,-0.5736730434782622,
2025,Canadian Grand Prix,4,ALO,Aston Martin,-0.332375950668041,,1.0,70.0,1,-0.332375950668041,-0.332375950668041,
2025,Canadian Grand Prix,4,ANT,Mercedes,0.0043457142857129,,1.0,70.0,1,0.0043457142857129,0.0043457142857129,
2025,Canadian Grand Prix,4,BEA,Haas F1 Team,0.0097565217391248,,1.0,69.0,1,0.0097565217391248,0.0097565217391248,
2025,Canadian Grand Prix,4,BOR,Kick Sauber,0.3130498592430408,,1.0,69.0,1,0.3130498592430408,0.3130498592430408,
2025,Canadian Grand Prix,4,COL,Alpine,-0.0040521739130425,,1.0,69.0,1,-0.0040521739130425,-0.0040521739130425,
2025,Canadian Grand Prix,4,GAS,Alpine,0.0040521739130444,,1.0,69.0,1,0.0040521739130444,0.0040521739130444,
2025,Canadian Grand Prix,4,HAD,Racing Bulls,0.4171601568068402,,1.0,69.0,1,0.4171601568068402,0.4171601568068402,
2025,Canadian Grand Prix,4,HAM,Ferrari,0.0311614285714248,,1.0,70.0,1,0.0311614285714248,0.0311614285714248,
2025,Canadian Grand Prix,4,HUL,Kick Sauber,-0.308577718396711,,1.0,70.0,1,-0.308577718396711,-0.308577718396711,
2025,Canadian Grand Prix,4,LAW,Racing Bulls,-0.543095298484382,,1.0,53.0,1,-0.543095298484382,-0.543095298484382,
2025,Canadian Grand Prix,4,LEC,Ferrari,-0.0311614285714324,,1.0,70.0,1,-0.0311614285714324,-0.0311614285714324,
2025,Canadian Grand Prix,4,NOR,McLaren,-0.7589372994652411,,1.0,66.0,1,-0.7589372994652411,-0.7589372994652411,
2025,Canadian Grand Prix,4,OCO,Haas F1 Team,-0.0097565217391361,,1.0,69.0,1,-0.0097565217391361,-0.0097565217391361,
2025,Canadian Grand Prix,4,PIA,McLaren,0.7155694537815127,,1.0,70.0,1,0.7155694537815127,0.7155694537815127,
2025,Canadian Grand Prix,4,RUS,Mercedes,-0.0043457142857157,,1.0,70.0,1,-0.0043457142857157,-0.0043457142857157,
2025,Canadian Grand Prix,4,SAI,Williams,0.3824486956521729,,1.0,69.0,1,0.3824486956521729,0.3824486956521729,
2025,Canadian Grand Prix,4,STR,Aston Martin,0.3371929934313374,,1.0,69.0,1,0.3371929934313374,0.3371929934313374,
2025,Canadian Grand Prix,4,TSU,Red Bull Racing,0.3677745386299684,,1.0,69.0,1,0.3677745386299684,0.3677745386299684,
2025,Canadian Grand Prix,4,VER,Red Bull Racing,-0.3625206166495346,,1.0,70.0,1,-0.3625206166495346,-0.3625206166495346,
